cotacao
1.333790
1.333790
1.333790
1.333790
1.333800
1.333800
1.333840
1.333840
1.333890
1.333880
1.333880
1.333920
1.333920
1.333920
1.334030
1.333850
1.333830
1.334210
1.334210
1.334140
1.334190
1.334160
1.334170
